"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","18.09",1,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","20.31",2,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","16.86",3,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","17.45",4,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","24.18",5,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","17.35",6,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","26.35",7,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","22.53",8,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","115.48",9,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","15.17",10,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","11","318.01","H1","24.24",11,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","16.56",1,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","15.36",2,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","16.48",3,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","17.74",4,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","18.42",5,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","41.18",6,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","22.59",7,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","25.49",8,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","15.97",9,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","20.20",10,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","13.75",11,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","72.52",12,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","13","311.38","H2","15.12",13,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","16.10",1,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","13.43",2,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","19.40",3,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","17.58",4,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","13.32",5,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","16.38",6,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","14.84",7,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","15.03",8,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","13.97",9,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","17.17",10,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","22.41",11,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","13.57",12,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","14.88",13,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","14.89",14,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","13.59",15,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","18.48",16,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","21.30",17,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","18.25",18,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","19","316.03","H3","21.44",19,2018-07-16
"Tony 'Two Wheel' Telford","Touring Car","19","316.03","1","14.28","H4","14.28",1,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","16.16",1,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","15.87",2,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","19.41",3,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","17.34",4,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","15.09",5,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","16.70",6,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","15.93",7,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","17.83",8,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","15.85",9,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","16.29",10,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","11","182.00","H1","15.53",11,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","14.98",1,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","15.48",2,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","14.11",3,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","14.24",4,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","13.80",5,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","13.93",6,2018-07-16
"Ian 'Bunny Boiler' Watson","Touring Car","23","309.62","21","308.01","H2","14.17",7,2018-07-16
