"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","10.48",1,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","15.10",2,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","13.83",3,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","15.83",4,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","17.19",5,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.68",6,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.09",7,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.50",8,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","15.12",9,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","13.79",10,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.16",11,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","13.85",12,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","13.96",13,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.05",14,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","16.27",15,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","61.10",16,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","13.78",17,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","18","305.97","F1","14.19",18,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","12.63",1,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.13",2,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.86",3,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","15.00",4,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.23",5,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","14.24",6,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","22.53",7,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.78",8,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","14.58",9,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","14.08",10,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","14.16",11,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.80",12,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.53",13,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.26",14,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","12.98",15,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","17.45",16,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.21",17,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","13.98",18,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","12.77",19,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","16.19",20,2018-02-12
"Gary Wilkinson",4wd,"20","311.17","21","306.39","F2","18.00",21,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","13.92",1,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","15.27",2,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.31",3,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.95",4,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.94",5,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","16.09",6,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.03",7,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.13",8,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.00",9,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.47",10,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.44",11,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","16.56",12,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","14.70",13,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","13.86",14,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","13.97",15,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","20.62",16,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","16.57",17,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","13.67",18,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","16.48",19,2018-02-12
"Jamie Stewart",4wd,"18","307.10","20","303.55","F1","16.57",20,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","11.53",1,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","14.55",2,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.87",3,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.83",4,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","20.48",5,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.65",6,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.84",7,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","14.23",8,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","14.08",9,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.62",10,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","18.24",11,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.45",12,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","15.29",13,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","16.77",14,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.32",15,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.26",16,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.55",17,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","14.14",18,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.75",19,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","13.78",20,2018-02-12
"Jamie Stewart",4wd,"18","307.10","21","307.32","F2","18.09",21,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","16.00",1,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","15.39",2,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","18.26",3,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","22.13",4,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","23.54",5,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","17.41",6,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","18.35",7,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","21.04",8,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","17.37",9,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","18.35",10,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","20.07",11,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","17.90",12,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","16.85",13,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","17.73",14,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","19.28",15,2018-02-12
"Dean Henderson",4wd,"13","303.37","16","300.17","F1","20.50",16,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","15.43",1,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","15.40",2,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","17.50",3,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","40.04",4,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","16.67",5,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","20.16",6,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","51.84",7,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","19.98",8,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","22.43",9,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","17.18",10,2018-02-12
"Dean Henderson",4wd,"13","303.37","11","260.42","F2","23.79",11,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","11.60",1,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","12.89",2,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","12.84",3,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","12.76",4,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","15.12",5,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","12.51",6,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","99.72","F1","22.00",7,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","14.62",1,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","12.76",2,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","16.28",3,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","12.50",4,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","12.46",5,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","12.86",6,2018-02-12
"Mark 'Plato' Richardson","Touring Car","23","303.28","7","95.18","F2","13.70",7,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","10.74",1,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","13.57",2,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","13.43",3,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","14.47",4,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","12.89",5,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","12.98",6,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","12.76",7,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","13.09",8,2018-02-12
"Gary 'Moneybags' Armstrong","Touring Car","21","309.45","23","307.66","F2","17.12",9,2018-02-12
